relationship_id,chain_id,intermediation_level,parent_relationship_id,source_act,amended_act,article,provision_type,R_actor_id,I_actor_id,T_actor_id,primary_mechanism,secondary_mechanism,reporting_mechanism_present,intermediary_present,accreditation_present,formal_role_present,participation_in_scheme_voluntary,use_of_intermediary_mandatory,regulatory_level,sphere_primary,mode_of_operation,organizational_separation,legal_independence_required,conflict_of_interest_rule,supervision_present,legal_evidence_id,verbatim_evidence
RIT-001,CHAIN-CSRD-1,L1,,32022L2464,Directive 2006/43/EC,Article 27a,article,ACT-01,ACT-02,ACT-03,auditing,reporting,1,1,NOE,1,0,1,EU,sustainability,professional_led,external,1,EXT,1,EVID-CSRD-27a-1,1. Member States shall ensure that in the case of assurance engagements concerning the consolidated sustainability reporting of a group of undertakings: (a) [...] the group auditor bears the full responsibility for the assurance report on sustainability reporting [...]
RIT-002,CHAIN-CSRD-1,L2,RIT-001,32022L2464,Directive 2006/43/EC,Article 27a,article,ACT-02,ACT-04,ACT-05,auditing,,0,1,NOE,1,0,1,EU,sustainability,professional_led,external,UNK,EXT,1,EVID-CSRD-27a-2,"the group auditor evaluates the assurance work performed by any independent assurance services provider(s), third-country auditor(s), statutory auditor(s), third-country audit entity(ies) or audit firm(s) for the purpose of the assurance of consolidated sustainability reporting and documents the nature [...]"
RIT-003,CHAIN-ECO-1,L1,,32010R0066,,Article 9,article,ACT-06,ACT-07,ACT-08,certification,,0,1,0,1,1,1,hybrid (EU criteria; Member-State-designated body),environmental,hybrid,hybrid,NOE,EXT,1,EVID-ECO-9-1,1. Any operator who wishes to use the EU Ecolabel shall apply to the competent bodies referred to in Article 4 [...] 5. [...] the competent body shall assign a registration number to the product.
RIT-004,CHAIN-ECO-1,L2,RIT-003,32010R0066,,Article 9(7),article,ACT-07,ACT-09,ACT-08,auditing,certification,0,1,1,0,1,0,EU (accreditation standard: ISO 17025),environmental,professional_led,external,EXT,EXT,UNK,EVID-ECO-9-2,Competent bodies shall preferentially recognise tests which are accredited according to ISO 17025 [...]
RIT-005,CHAIN-ECO-1,L2,RIT-003,32010R0066,,Article 9(7),article,ACT-07,ACT-10,ACT-08,auditing,certification,0,1,1,0,1,0,EU (accreditation standard: EN 45011),environmental,professional_led,external,EXT,EXT,UNK,EVID-ECO-9-3,[...] and verifications performed by bodies which are accredited under the EN 45011 standard or an equivalent international standard.
RIT-006,CHAIN-ETS-1,L1,,32018R2067,,Article 27,article,ACT-15,ACT-16,ACT-17,auditing,reporting,1,1,1,1,0,1,EU,climate,professional_led,external,1,EXT,1,EVID-ETS-27-1,"(j) the responsibilities of the operator or aircraft operator, the competent authority and the verifier; [...] 2. The operator [...] shall submit the verification report to the competent authority [...]"
RIT-007,CHAIN-ETS-1,L2,RIT-006,32018R2067,,Article 5,article,ACT-19,ACT-18,ACT-16,certification,auditing,0,1,1,1,0,1,EU,climate,professional_led,external,UNK,EXT,1,EVID-ETS-5-1,"An overall framework of rules for the accreditation of verifiers is necessary to ensure that the verification of operator's or aircraft operator's reports [...] is carried out by verifiers that [...] possess the necessary competence to fulfil their tasks. [R-I link, separate provision:] The body recognised under Article 14 of Regulation (EC) No 765/2008 shall publish and communicate the outcome of the peer evaluation of a national accreditation [body]."
